id,title,description,duration,difficulty,learning_path_id
463,Forex how traders beat the markest with little experience,Learn the basics of Node.js,1,Beginner,16
464,CFA Level 2- Quantitative Methods,Learn the fundamentals of JavaScript programming.,5.5,Beginner,7
465,Foundations of Investing,Explore advanced CSS for modern web design.,2,Beginner,13
466,Capital Market Road Map,"Learn the basics of html
",4,Beginner,10
467,TRADING: 5K CHALLENGE,Learn basics of react,1,Intermediate,5
468,CurrencyFair - Avoid Bank Charges when converting currencies,Learn the concept of nextjs,0.666666667,Beginner,9
469,Bitcoin - A Comprehensive Guide,Learn the ETL process effectively,2.5,Beginner,20
470,Forex Trading,Learn the concepts of DataBricks,4.5,Beginner,6
471,"The True ' Secret Sauce  For Stock Market Success""",Learn the process of data Transformation through dbt,3,Beginner,4
472,Bookkeeping to Command Senior Bookkeeping Wages,Learn python for data engineering,4.5,Beginner,14
473,Take Your Career to the Next Level with MBA Finance,Learn statistics,2,Beginner,9
474,How to Read Financial Statements:  Build Financial Literacy.,Learn the basics of Node.js,1.5,Beginner,13
475,Accounting Books of Accounts (College Level),Learn the fundamentals of JavaScript programming.,1.5,Beginner,6
476,Forex Trading Profitably,Explore advanced CSS for modern web design.,0.666666667,Beginner,13
477,Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,"Learn the basics of html
",2,Beginner,19
478,Bitcoin Trading 101,Learn basics of react,2,Beginner,17
479,Visualizing Data,Learn the concept of nextjs,6.5,Intermediate,15
480,IFRS Financial Reporting,Learn the ETL process effectively,3.5,Beginner,10
481,Forex Trading System: Correlation EUR/GBP vs GBP/USD,Learn the concepts of DataBricks,1,Intermediate,9
482,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",Learn the process of data Transformation through dbt,2,Beginner,5
483,Learn Financial Accounting Different,Learn python for data engineering,6,Beginner,17
484,CFA Level I Workshop 4: Fixed Income and Equity,Learn statistics,1.5,Beginner,19
485,"IAS37 - Provisions, Contingents Liabilities & Assets",Learn the basics of Node.js,4,Beginner,5
486,What You Should Know to Become a Trader,Learn the fundamentals of JavaScript programming.,1.5,Beginner,11
487,Financial Reporting A Comprehensive Study,Explore advanced CSS for modern web design.,8,Beginner,5
488,An Abundance Mindset: How to Craft Yours,"Learn the basics of html
",4.5,Beginner,5
489,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,Learn basics of react,0.6,Beginner,4
490,How to Build a Massive Retirement Plan from Scratch!,Learn the concept of nextjs,2,Beginner,20
491,Financial modeling: Build a forward looking financial model,Learn the ETL process effectively,2,Beginner,11
492,Trading for Beginners - Entry Level,Learn the concepts of DataBricks,1.5,Beginner,19
493,Bitcoin or How I Learned to Stop Worrying and Love Crypto,Learn the process of data Transformation through dbt,8,Beginner,20
494,Trend Following Stocks: A Complete Trading System,Learn python for data engineering,3.5,Advanced,15
495,Forex Basics,Learn statistics,3.5,Beginner,18
496,Accounting Bank Reconciliation Statement (College Level),Learn the basics of Node.js,1.5,Beginner,11
497,Bitcoin - Ethereum: Trading -Watch me manage my own account!,Learn the fundamentals of JavaScript programming.,2.5,Beginner,1
498,FOREX : Learn Technical Analysis,Explore advanced CSS for modern web design.,18,Beginner,13
499,FastTrack to Stock Trading Strategies,"Learn the basics of html
",3.5,Beginner,4
500,Algorithmic futures trading - Investing with no experience,Learn basics of react,1.5,Beginner,5
501,Succeed in Forex Even if You Don't Know Where to Start!,Learn the concept of nextjs,19.5,Beginner,17
502,Hedge Fund Accounting and Valuation,Learn the ETL process effectively,0.566666667,Beginner,16
503,"Binary, Forex, Stock and Bitcoin Trading Strategy",Learn the concepts of DataBricks,0.616666667,Beginner,17
504,2 Easy Steps To Investment And Avoiding Traps,Learn the process of data Transformation through dbt,1,Beginner,9
505,Ethereum Course for Investors,Learn python for data engineering,1,Beginner,5
506,Using Xero for your bookkeeping needs  do beautiful business,Learn statistics,1,Beginner,16
507,Capital Market Immersion,Learn the basics of Node.js,24.5,Beginner,20
508,Forex Trading :RSI Indicator-A Secret Weapon,Learn the fundamentals of JavaScript programming.,1.5,Beginner,12
509,"Trading Mindset, and Three Steps To Profitable Trading",Explore advanced CSS for modern web design.,1.5,Beginner,18
510,Professional Bookkeeping & Accounting 4:Trial Balance & More,"Learn the basics of html
",1,Beginner,20
511,"Internal Controls - Design, Implementation and Monitoring",Learn basics of react,6.5,Beginner,10
512,Forex online live trading system (Special Offer),Learn the concept of nextjs,5.5,Beginner,7
513,Winning Options Trading System,Learn the ETL process effectively,7.5,Beginner,13
514,Learn The ABC's Of Investing And Understanding True Financial Value,Learn the concepts of DataBricks,1.5,Beginner,6
515,How to invest in Russian equity market,Learn the process of data Transformation through dbt,1.5,Intermediate,3
516,Handle difficult questions the bank manager will ask you,Learn python for data engineering,1,Beginner,18
517,Credit Control Procedures,Learn statistics,0.566666667,Beginner,17
518,FMT: Forex Market Trader Certificate,Learn the basics of Node.js,2,Beginner,1
519,Six Stage Negotiation,Learn the fundamentals of JavaScript programming.,2.5,Beginner,12
520,Financial Reporting - Fundamentals/Basics,Explore advanced CSS for modern web design.,2.5,Beginner,16
521,Decide whether to Invest in a Business ,"Learn the basics of html
",1,Beginner,14
522,UK Tax Returns with HMRC,Learn basics of react,1,Beginner,3
523,Financial Market Environment & Investment Strategies,Learn the concept of nextjs,1.5,Beginner,15
524,How to Obtain a Business Loan,Learn the ETL process effectively,0.566666667,Beginner,2
525,Evolution and Features of ETFs,Learn the concepts of DataBricks,0.716666667,Beginner,9
526,Cost Accounting Operating Costing(Professional Course Level),Learn the process of data Transformation through dbt,1,Beginner,8
527,Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),Learn python for data engineering,2,Beginner,10
528,"Day trading strategy for all level, with 72% success rate",Learn statistics,0.533333333,Beginner,12
529,"Accounting, Finance and Banking - A Comprehensive Study",Learn the basics of Node.js,33,Beginner,9
530,Advanced Technical Analysis PART1!,Learn the fundamentals of JavaScript programming.,3,Intermediate,4
531,Advanced Financial Management for CA / CS / CFA /CPA Exams,Explore advanced CSS for modern web design.,24.5,Beginner,10
532,Learn the Foundations of Stocks and Options,"Learn the basics of html
",7.5,Beginner,3
533,Forex Trading Masterclass - Learn To Trade Better,Learn basics of react,3,Beginner,7
534,Introduction to Accounting - Analyzing Financial Statements,Learn the concept of nextjs,1,Intermediate,13
535,Credit Risk Analysis,Learn the ETL process effectively,3.5,Intermediate,5
536,Fund Flow Analysis for CA / CFA / CPA Exams,Learn the concepts of DataBricks,1.5,Intermediate,20
537,Python for Trading & Investing,Learn the process of data Transformation through dbt,5,Beginner,16
538,Stocks For Beginners - A Guide To Investing,Learn python for data engineering,1,Beginner,16
539,Intro to Impact Investing,Learn statistics,0.533333333,Beginner,7
540,Stock Market - Swing Trading Strategies for Wall Street,Learn the basics of Node.js,1,Beginner,13
541,Essential Options: Strategies for Mastering the Stock Market,Learn the fundamentals of JavaScript programming.,5,Intermediate,8
542,The Day Trader: Learn to Trade The Stock Market and Forex,Explore advanced CSS for modern web design.,10.5,Beginner,17
543,Introduction To The World Of Equity Finance,"Learn the basics of html
",2,Beginner,5
544,Stock Technical Analysis with Excel,Learn basics of react,7,Beginner,4
545,Beginners Forex strategy,Learn the concept of nextjs,1,Beginner,12
546,Mortgage Backed Securities,Learn the ETL process effectively,3.5,Beginner,6
547,The Complete Financial Model Builder Course-Build 7 Models,Learn the concepts of DataBricks,9,Beginner,9
548,Fundamental Financial Math,Learn the process of data Transformation through dbt,2.5,Beginner,15
549,Equity Swaps,Learn python for data engineering,3,Beginner,11
550,Proven Methods In Trading Candlestick Patterns,Learn statistics,1.5,Beginner,15
551,Read financial statements as a stock investor,Learn the basics of Node.js,2,Beginner,1
552,Investing: How to Fix Hidden Flaws Inside Your Portfolio,Learn the fundamentals of JavaScript programming.,1,Beginner,2
553,Certificate Program in Financial Accounting,Explore advanced CSS for modern web design.,4.5,Beginner,9
554,Trading Biotech Stocks - Understanding the Healthcare Sector,"Learn the basics of html
",1.5,Beginner,17
555,Indian Contract Act 1872: Must for all Finance Professionals,Learn basics of react,1,Beginner,16
556,Fundraising Success: The Art & Science of Major Gifts,Learn the concept of nextjs,2.5,Intermediate,1
557,Smart Trading Techniques for Safe & Consistent Weekly Result,Learn the ETL process effectively,2.5,Intermediate,15
558,Technical Trading and Investing Made Easy,Learn the concepts of DataBricks,1.5,Intermediate,1
559,Budgeting for Business,Learn the process of data Transformation through dbt,2.5,Beginner,12
560,Complete Guide to Business Loans,Learn python for data engineering,1.5,Beginner,4
561,Hot Trading Investing Strategy: ETF and Futures,Learn statistics,2.5,Beginner,18
562,Financial Management - A Complete Study,Learn the basics of Node.js,71.5,Beginner,18
563,MQL4 Programming for Traders: Build Robust Trading Robots!,Learn the fundamentals of JavaScript programming.,7,Beginner,20
564,Ultimate Stock Market Investing: Learn How to Value Stocks,Explore advanced CSS for modern web design.,3.5,Beginner,10
565,Collection of Advanced Options concepts for Options traders,"Learn the basics of html
",1,Advanced,20
566,No Bull Investing: Investing 101 For Financial Freedom,Learn basics of react,6.5,Beginner,20
567,Financial Modeling - Build Your Own 3 Statement Projection,Learn the concept of nextjs,1,Beginner,5
568,Small Business Owners: Drive a Productive Business and Grow,Learn the ETL process effectively,3,Beginner,8
569,Successful Day Trading with Fibonacci,Learn the concepts of DataBricks,2,Beginner,16
570,Short Straddles - Exploit Earnings Option Volatility Crush,Learn the process of data Transformation through dbt,0.583333333,Advanced,8
571,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,Learn python for data engineering,1,Beginner,20
572,Technical Analysis 101: Ten Primary Candlestick Reversals,Learn statistics,7,Beginner,17
573,Financial Analysis:  A Recipe for Success,Learn the basics of Node.js,1.5,Beginner,9
574,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",Learn the fundamentals of JavaScript programming.,3.5,Beginner,20
575,Intro to Financial Statement Audits,Explore advanced CSS for modern web design.,1.5,Intermediate,2
576,"How to Get Growing, Passive Income from the Fortune 500!","Learn the basics of html
",1,Beginner,16
577,Managing Budgets in the Public and Non Profit Sector,Learn basics of react,2,Beginner,20
578,System of Asset Management for Professionals (SAMP),Learn the concept of nextjs,1,Advanced,4
579,How to invest in Forex Trading & add an additional income,Learn the ETL process effectively,2,Beginner,14
580,Tax made simple for Limited Company Owners and Contractors,Learn the concepts of DataBricks,3,Beginner,13
581,Introduction to the 8 Pillars for Accountants,Learn the process of data Transformation through dbt,0.616666667,Beginner,7
582,FX Trading for Beginners,Learn python for data engineering,1.5,Beginner,1
583,Write a Successful Business Grant Proposal,Learn statistics,2.5,Beginner,11
584,A Guide To Trade Binary Options Like An Expert,Learn the basics of Node.js,1,Beginner,18
585,Ratio analysis for bankers and credit analysts,Learn the fundamentals of JavaScript programming.,3,Beginner,8
586,Numbers for the  Business Plan,Explore advanced CSS for modern web design.,1.5,Beginner,4
587,Dash Crypto Currency Technical and Trading Overview Bootcamp,"Learn the basics of html
",1,Beginner,3
588,1 - Concepts of Statistics For Beginners Step by Step,Learn basics of react,0.516666667,Beginner,16
589,4. Ordinary Simple Annuities: The Basics,Learn the concept of nextjs,1.5,Beginner,10
590,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,Learn the ETL process effectively,20.5,Beginner,17
591,Financial Risk Manager (FRM) Certification: Level II,Learn the concepts of DataBricks,47,Beginner,16
592,Level 1 2014 CFA® Program – Corporate Finance,Learn the process of data Transformation through dbt,3,Beginner,13
593,3. Compound Interest ,Learn python for data engineering,2,Beginner,1
594,8. Amortization Schedules,Learn statistics,1,Beginner,20
595,Finance Fundamentals for Non Finance Leaders,Learn the basics of Node.js,1,Beginner,4
596,Strategy layout and Backtesting,Learn the fundamentals of JavaScript programming.,4,Advanced,16
597,Easy Forex and Futures Trading,Explore advanced CSS for modern web design.,14.5,Beginner,4
598,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,"Learn the basics of html
",1.5,Beginner,2
599,Aprende a hacer paper trading (simulación) con Ninja Trader,Learn basics of react,1.5,Beginner,4
600,Trading mit kleinen Konten - Grundlagen die du kennen musst,Learn the concept of nextjs,3.5,Beginner,17
601,entiende la contabilidad y consigue un aumento de salario,Learn the ETL process effectively,1.5,Beginner,4
602,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,Learn the concepts of DataBricks,2.5,Beginner,18
603,Trading Forex  - L'analyse des volumes,Learn the process of data Transformation through dbt,2,Beginner,2
604,Disminuye deudas en tu hogar en menos de 30 días,Learn python for data engineering,1.5,Beginner,18
605,CPA 10 COMPLETO,Learn statistics,5,Beginner,15
606,Trading Intradiario basado en Precio y Volumen,Learn the basics of Node.js,1.5,Intermediate,19
607,Aprenda Cálculo Financeiro de Forma Simples,Learn the fundamentals of JavaScript programming.,2,Beginner,9
608,Wie funktionieren Bitcoin? Ein Einführungskurs.,Explore advanced CSS for modern web design.,0.616666667,Beginner,14
609,Estruturação Financeira,"Learn the basics of html
",3.5,Beginner,16
610,Five steps to becoming a winner in stock investing,Learn basics of react,3,Beginner,3
611,Financial Accounting Plus Excel and SAP Crash Course.,Learn the concept of nextjs,1,Beginner,7
612,Introduction to Financial Consolidation under IFRS,Learn the ETL process effectively,1.5,Beginner,12
613,How to read a Profit & Loss Account and Balance Sheet,Learn the concepts of DataBricks,2,Beginner,11
614,Learn Bookkeeping From Scratch,Learn the process of data Transformation through dbt,3,Beginner,7
615,ACCA MA1 Management Information,Learn python for data engineering,3.5,Beginner,8
616,Introduction to Bitcoin for Beginners,Learn statistics,0.566666667,Beginner,3
617,Stock Trading: Ultimate Guide to swing trading stocks,Learn the basics of Node.js,0.683333333,Beginner,11
618,Bookkeeping Systems,Learn the fundamentals of JavaScript programming.,1,Beginner,11
619,Precious Metal Equities,Explore advanced CSS for modern web design.,1,Beginner,18
620,Start Now: A Rescue Plan for Retirement Late Savers,"Learn the basics of html
",0.65,Beginner,7
621,Eu Funding: Module 2 - Introduction to Horizon 2020,Learn basics of react,1,Intermediate,12
622,How I Make Money Writing About Stocks Online,Learn the concept of nextjs,2.5,Beginner,5
623,Tradeonomics - Four Steps to Mastering Economic Indicators,Learn the ETL process effectively,4,Beginner,10
624,Improve Your Financial Literacy,Learn the concepts of DataBricks,2,Beginner,11
625,Forex Trading : Power Of Moving Averages,Learn the process of data Transformation through dbt,4,Beginner,17
626,Demystifying Your Personal Tax Return,Learn python for data engineering,1,Beginner,15
627,Samuel and Co Trading - Stock & Forex Trading,Learn statistics,5.5,Beginner,15
628,Accounting Department's Tips & Tricks - Beginner to Advanced,Learn the basics of Node.js,6,Beginner,16
629,Certificate Program In Management Accounting,Learn the fundamentals of JavaScript programming.,6,Beginner,18
630,How I Trade Forex Successfully,Explore advanced CSS for modern web design.,1.5,Beginner,2
631,Professional Trading With Institutional Supply & Demand,"Learn the basics of html
",5.5,Beginner,6
632,Master Calendar Spreads with this live trade on Gold (GLD),Learn basics of react,1,Advanced,15
633,Accounting 101: Guide to Business Accounting,Learn the concept of nextjs,14.5,Beginner,4
634,An Introduction to Financial Markets on Wall Street,Learn the ETL process effectively,2,Beginner,14
635,Win 90% of Trades; Quantitative Investments Models in Excel,Learn the concepts of DataBricks,1.5,Beginner,18
636,The Forex Pivot Points Trading Strategy,Learn the process of data Transformation through dbt,2,Beginner,5
637,Your Business by the Numbers,Learn python for data engineering,3,Beginner,5
638,Forex - Trade Gartley with Precision - Complete Strategy,Learn statistics,1.5,Beginner,2
639,Bitcoin & Ethereum Course (2 Course Bundle),Learn the basics of Node.js,2.5,Beginner,16
640,Create Trading Robot Without Coding Skills!,Learn the fundamentals of JavaScript programming.,1,Beginner,2
641,Accounting and the Triple Bottom Line,Explore advanced CSS for modern web design.,0.55,Intermediate,2
642,MQL5 - Beginner To Expert,"Learn the basics of html
",1.5,Beginner,14
643,How to be A High Performance Insurance Broker Part 2,Learn basics of react,2,Beginner,2
644,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",Learn the concept of nextjs,1,Beginner,5
645,Xero Bookkeeping Course & Certification by Accounting Firm,Learn the ETL process effectively,2,Beginner,20
646,Trading News Using Binary Options,Learn the concepts of DataBricks,1.5,Beginner,15
647,Trading Trends in ANY Market,Learn the process of data Transformation through dbt,2,Beginner,14
648,Financial Statements Analysis: Learn to Invest Like a Pro!,Learn python for data engineering,2.5,Beginner,14
649,Contango VXX - ETF Options Trading - Double Your Investment,Learn statistics,1,Beginner,15
650,Mergers and Acquisitions M&A Essentials You Need to Know,Learn the basics of Node.js,1,Beginner,2
651,TRADING MARKET MAP,Learn the fundamentals of JavaScript programming.,3.5,Beginner,5
652,How To Confidently Join The Bitcoin Revolution,Explore advanced CSS for modern web design.,7,Beginner,8
653,High Probability Trading Across Any Market: Stocks & Forex,"Learn the basics of html
",18.5,Beginner,5
654,Option Trading for Rookies: Make & Manage Profitable Trades,Learn basics of react,2,Beginner,19
655,Your First Successful Forex Trades - With Case Studies,Learn the concept of nextjs,2.5,Beginner,12
656,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,Learn the ETL process effectively,43.5,Beginner,10
657,"High-Frequency Trading #1: Basics, History & Strategies",Learn the concepts of DataBricks,0.6,Beginner,3
658,Financial Accounting - The Ultimate Beginner Course,Learn the process of data Transformation through dbt,10,Beginner,12
659,Level 1 2014 CFA® Program – Derivatives,Learn python for data engineering,2.5,Beginner,2
660,The Complete Investing Guide: How to Beat Wall Street,Learn statistics,5.5,Beginner,10
661,"Bitcoins - Past, Present, Future",Learn the basics of Node.js,1.5,Beginner,12
662,Learn Accounting by Specific Examples - Part 1,Learn the fundamentals of JavaScript programming.,0.633333333,Beginner,5
663,Forex: Presentation and  Analysis (Fundamental & Technical),Explore advanced CSS for modern web design.,1.5,Beginner,2
664,Year-end QuickBooks Procedures,"Learn the basics of html
",2,Beginner,18
665,Price Action Gap Trading Strategies,Learn basics of react,1,Intermediate,18
666,How to start a successful career in finance?,Learn the concept of nextjs,2,Beginner,14
667,Level 1 2014 CFA® Program – Equity Investments,Learn the ETL process effectively,4.5,Beginner,10
668,Wealth Management,Learn the concepts of DataBricks,3.5,Beginner,6
669,Basics of Private Equity,Learn the process of data Transformation through dbt,0.666666667,Intermediate,11
670,Curso Completo del Mercado FOREX,Learn python for data engineering,5.5,Beginner,18
671,Como Investir em Ações para Iniciantes,Learn statistics,1,Beginner,19
672,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,Learn the basics of Node.js,5,Beginner,19
673,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,Learn the fundamentals of JavaScript programming.,4,Beginner,17
674,Matemática Financeira de um jeito fácil,Explore advanced CSS for modern web design.,1.5,Beginner,13
675,ビットコイン生態系｜既存通貨が主役をやめる日,"Learn the basics of html
",1.5,Beginner,1
676,Trading Forex - Trader avec les figures harmoniques,Learn basics of react,2,Beginner,4
677,Введение в Финансовую Инженерию,Learn the concept of nextjs,5,Beginner,3
678,Aprenda a Investir no Tesouro Direto Passo a Passo,Learn the ETL process effectively,1,Beginner,15
679,資産運用の基礎を学ぶファイナンス入門,Learn the concepts of DataBricks,4,Beginner,19
680,Aprende a invertir y deja que tu dinero trabaje para ti,Learn the process of data Transformation through dbt,14,Beginner,11
681,Buchführung lernen leicht gemacht,Learn python for data engineering,5,Beginner,13
682,Day Trading: High ROI Day Trading ,Learn statistics,6.5,Intermediate,1
683,Flow Management and Forecasting,Learn the basics of Node.js,1,Beginner,8
684,An Introduction to Management of Portfolios (MoP),Learn the fundamentals of JavaScript programming.,1.5,Beginner,2
685,CFA Level I Workshop 1: Ethics and Quantitative Methods,Explore advanced CSS for modern web design.,1,Beginner,1
686,Accounting Basics 101 for Understanding Business,"Learn the basics of html
",1,Beginner,18
687,Mortgage Acceleration,Learn basics of react,1.5,Beginner,19
688,Stock Market for Beginners. Learn to trade,Learn the concept of nextjs,3.5,Beginner,18
689,CFA Corporate Finance Level 1 (Part 1),Learn the ETL process effectively,14.5,Beginner,11
690,Trading Tips from Hedge Fund Manager,Learn the concepts of DataBricks,1,Beginner,15
691,Effective Debt Collection Strategies,Learn the process of data Transformation through dbt,1.5,Intermediate,5
692,IAS 1-Presentation of Financial Statements ,Learn python for data engineering,1,Beginner,13
693,Stock Trading Strategies Using a D.A.R.T.,Learn statistics,1,Beginner,4
694,Capital Structuring Techiques for CA / CFA / CPA Exams,Learn the basics of Node.js,7,Intermediate,9
695,The Complete Guide to Forex Trading,Learn the fundamentals of JavaScript programming.,5,Beginner,3
696,Learn How to Trade Binary Options Professionally,Explore advanced CSS for modern web design.,1,Beginner,5
697,Learn How to Start Small and Make It Big In Small-Cap Stocks,"Learn the basics of html
",2,Beginner,8
698,Trading strategies with common sense technical analysis,Learn basics of react,3,Beginner,11
699,Startup Business: How To Raise Seed Capital,Learn the concept of nextjs,3,Beginner,6
700,Business Economics - Basics (College Level),Learn the ETL process effectively,4,Beginner,15
701,Technical Analysis 101: Master the Basics of Trading,Learn the concepts of DataBricks,2,Beginner,19
702,Investing in Stocks? Master The Art of Covered Calls Selling,Learn the process of data Transformation through dbt,3,Beginner,19
703,How to Trade Binary Options Effectively – All Levels,Learn python for data engineering,1,Beginner,7
704,Stock Market: The Zero Risk Way of Investing,Learn statistics,0.633333333,Beginner,2
705,Forex Trading using professional indicators by TOP traders,Learn the basics of Node.js,3.5,Beginner,14
706,Corporate Finance 101: Equity Valuation,Learn the fundamentals of JavaScript programming.,6,Beginner,2
707,Trading Strategies: Find The Trading Strategy That Fits You,Explore advanced CSS for modern web design.,2,Beginner,9
708,Forex Trading - Learn An Effective Forex Trading Strategy,"Learn the basics of html
",1.5,Beginner,16
709,Navigate the 10-K and Other Financial Reports,Learn basics of react,2.5,Beginner,11
710,From 0 to 1: Investments and Portfolio Theory,Learn the concept of nextjs,4.5,Beginner,10
711,Bitcoin - The Complete Guide,Learn the ETL process effectively,5.5,Beginner,17
712,Professional Trader's Mindset - Complete Forex Course,Learn the concepts of DataBricks,1,Beginner,2
713,Bitcoin Peer Investing: How To Generate Double Digit Returns,Learn the process of data Transformation through dbt,2.5,Beginner,3
714,Forex Breakout Profits: The Definitive Guide,Learn python for data engineering,2.5,Beginner,19
715,Learn to Trade With Fibonacci Tools,Learn statistics,4,Intermediate,9
716,"Investing Internationally into Real Estate, Stocks and Bonds",Learn the basics of Node.js,2,Beginner,14
717,From 0 to 1: Bond Theory and Valuation,Learn the fundamentals of JavaScript programming.,4,Beginner,20
718,Stock Market Mastery,Explore advanced CSS for modern web design.,7.5,Beginner,2
719,UK Self Assessment Tax Return Filing Online,"Learn the basics of html
",0.466666667,Beginner,5
720,Introduction to Financial Statements,Learn basics of react,1.5,Beginner,6
721,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",Learn the concept of nextjs,2.5,Beginner,11
722,CFA® Level 1 2014 – Financial Reporting and Analysis,Learn the ETL process effectively,10,Beginner,3
723,Investment Banking Operations : Securities Trade Life Cycle,Learn the concepts of DataBricks,2,Beginner,2
724,CFA Level I Foundation Course: Introduction to Quants,Learn the process of data Transformation through dbt,5,Beginner,17
725,Financial Risk Manager (FRM) Certification: Level I,Learn python for data engineering,24,Beginner,9
726,IAS 10 - Events After Reporting Date,Learn statistics,1,Beginner,19
727,Investment Portfolio Analysis with Excel,Learn the basics of Node.js,9,Beginner,3
728,Introduction to the CFA Program,Learn the fundamentals of JavaScript programming.,1,Beginner,13
729,Chartered Financial Analyst (CFA) - Level 1 - FRA,Explore advanced CSS for modern web design.,14.5,Beginner,14
730,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,"Learn the basics of html
",1,Beginner,10
731,Cashflow Management for Small Businesses: A How To Guide,Learn basics of react,0.616666667,Beginner,6
732,Forex Basics (Professional Course Level),Learn the concept of nextjs,1.5,Beginner,18
733,Advanced Butterfly Spreads for Options Income Strategies,Learn the ETL process effectively,1,Advanced,3
734,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,Learn the concepts of DataBricks,1,Beginner,19
735,IPO Fundamentals,Learn the process of data Transformation through dbt,1,Beginner,16
736,Finance for Non-Finance: Learn Quick and Easy,Learn python for data engineering,2.5,Beginner,17
737,Advanced Options Trading Course,Learn statistics,0.533333333,Intermediate,6
738,Statistics - Measures of Dispersion for CA / CS / CFA exams,Learn the basics of Node.js,1,Beginner,1
739,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,Learn the fundamentals of JavaScript programming.,1,Beginner,3
740,Financial Ratios Using Excel,Explore advanced CSS for modern web design.,1,Beginner,15
741,How To Start Trading Penny Stocks In 10 Easy Steps 2017,"Learn the basics of html
",1.5,Beginner,3
742,How to Copy the Best Traders on Etoro,Learn basics of react,3.5,Beginner,6
743,How To Set Up A Limited Company In The UK,Learn the concept of nextjs,0.733333333,Beginner,2
744,Forex trading made simple,Learn the ETL process effectively,1.5,Beginner,15
745,Financial and Business Simulation with Microsoft Excel,Learn the concepts of DataBricks,0.516666667,Advanced,7
746,10.  Bonds and Bond Pricing,Learn the process of data Transformation through dbt,1,Beginner,9
747,Professional Risk Manager (PRM) Certification: Level 3,Learn python for data engineering,12.5,Beginner,13
748,Stocks: Quick Method to get started Investing,Learn statistics,1,Beginner,19
749,The Fundamentals Of Finance For Non-Finance Professionals,Learn the basics of Node.js,1.5,Beginner,5
750,Forex - Top Equity Management Strategy,Learn the fundamentals of JavaScript programming.,0.583333333,Beginner,5
751,The Truths about (in)secure Retirement,Explore advanced CSS for modern web design.,4.5,Intermediate,6
752,Learn How to File Taxes for Uber and Lyft Drivers,"Learn the basics of html
",2,Beginner,8
753,Learn the Basics of the Wave Principle:,Learn basics of react,1.5,Beginner,11
754,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,Learn the concept of nextjs,3.5,Beginner,10
755,Start Trading Stocks Using Technical Analysis! Part 2,Learn the ETL process effectively,2,Beginner,6
756,Introduction to Corporate Finance (Mergers & Acquisitions),Learn the concepts of DataBricks,1.5,Beginner,19
757,Forex & Financial Market Trading Tutorial- Online Strategies,Learn the process of data Transformation through dbt,9,Beginner,12
758,Learn to trade Candlestick Patterns,Learn python for data engineering,1.5,Intermediate,13
759,High-Frequency Trading #2: Market Structure & Instruments,Learn statistics,0.683333333,Beginner,2
760,The Art Of Financial Valuation With Certificate,Learn the basics of Node.js,2,Beginner,12
761,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,Learn the fundamentals of JavaScript programming.,2,Beginner,20
762,"Economics:   Competition, Elasticity, a little Game Theory",Explore advanced CSS for modern web design.,6,Beginner,18
763,Quantitative Trading Analysis with Python,"Learn the basics of html
",5.5,Beginner,13
764,Invest Like a Pro!,Learn basics of react,2.5,Beginner,17
765,Options Trading Essentials: The ULTIMATE Guides,Learn the concept of nextjs,4,Beginner,15
766,ACCA FA1 Recording Financial Transactions,Learn the ETL process effectively,3.5,Beginner,6
767,CFA® Level 1 2014 – Portfolio Management,Learn the concepts of DataBricks,2,Beginner,10
768,Essentials Of Swing Trading Stocks,Learn the process of data Transformation through dbt,1,Beginner,20
769,Small Business and Managerial Accounting Training Tutorial,Learn python for data engineering,3.5,Beginner,13
770,Use Crowdfunding Effectively With Indiegogo and Kickstarter,Learn statistics,2,Beginner,15
771,The Complete Litecoin Crypto Currency Bootcamp,Learn the basics of Node.js,1,Beginner,3
772,Bank Reconciliation & VAT on Excel,Learn the fundamentals of JavaScript programming.,1.5,Beginner,6
773,Commodity Futures Day Trading Strategies,Explore advanced CSS for modern web design.,5,Beginner,18
774,Learn to invest in the Stock Market,"Learn the basics of html
",1,Beginner,9
775,FX Commodity Chart Trading Patterns for Success,Learn basics of react,2.5,Beginner,2
776,Forex Elite Trading,Learn the concept of nextjs,6,Beginner,8
777,How to Invest in Startups - Expert Reveals Winning Secrets.,Learn the ETL process effectively,8.5,Beginner,18
